Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Muirkirk,69,Muirkirk,MARC: Camden Line,Prince Georges County,"Town, Suburban, or Employment Center",192427,Anchor,2,1,1,1,1,3,1,1,2,Local Transit,RTA 302,RTA 302,,355.25,,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,667,No,15,0,0,209,251,120,2.056526208,,2.886309992,35.6564,2,0,N/A,8,1,No,"I-2, E-I-A, I-3",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,405,1258,"(39.061914, -76.884555)"
BWI Business District,19,BWI Business District,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",208356,Anchor,4,2,1,1,1,2,1,1,4,BaltimoreLink Core Bus; WMATA Metrobus; Local Transit,"075, B30, RTA 501","75, B30, RTA 501",,,,,209.09,,,,,,,,,,45,,,,,36,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,30,No,4,0,0,22,30,138,0.13,,0.306311881,19.1017,2,0,N/A,10,2,No,W1 - Industrial Park,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0,4,6,6,0,1,0,0,,,"(39.190674, -76.676178)"
Nursery Road,24,Nursery Road,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",230560,Anchor,3,3,1,2,2,1,2,1,2,BaltimoreLink Core Bus,075,75,,,,,437.19,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,33,No,2,0,0,32,26,80,0.07,,0.336943069,61.1253,3,0,N/A,0,,Yes,R5 &  OS - Open Space,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0,18,30,33,0,1,0,0,,,"(39.221146, -76.64229)"
McCormick Road,46,McCormick Road,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",73036,Anchor,4,2,4,4,2,3,2,1,2,BaltimoreLink Core Bus,093,93,,,,,443.53,,,,,,,,,,72,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,0,No,0,0,0,0,,,0,,0,14.0079,4,0,N/A,0,,Yes,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,1,2,2,0,12,0,0,,,"(39.489245, -76.659389)"
Dorsey,64,Dorsey,MARC: Camden Line,Howard County,"Town, Suburban, or Employment Center",145241,Anchor,2,5,2,1,1,4,4,1,3,Commuter Bus; Local Transit,"201, RTA 409, RTA 501","201, RTA 409, RTA 501",,581,,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,842,No,18,2,0,594,507,85,1.802033173,,3.643587726,30.5627,1,2,2 Wave,10,2,Yes,TOD zone,,,0,6,471,646,0,21,0,0,,,"(39.181036, -76.745809)"
Hamburg Street,29,Hamburg Street,Light Rail,Baltimore City,Downtown,534100,Walk-up,3,1,1,3,4,5,5,1,1,,,,,,,,240.77,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,No,No,No,0,No,0,0,0,0,,,0,,0,266.15,6,0,N/A,0,,No,I-2   C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,81,178,34,47,0,7,2,115,,,"(39.279035, -76.619831)"
Brunswick,76,Brunswick,MARC: Brunswick Line,City of Brunswick,Village Center or Rural Town,11322,Regional,1,3,4,4,2,3,1,1,2,Local Transit,TransIT (Meet-the-MARC),TransIT (Meet-the-MARC),,,556.5,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,No,626,No,20,0,0,490,445,91,1.141121069,,3.334714413,141.352,3,2,2 BR-Wheel Bender Combo,0,,Yes,"I - 2, B - 2",https://www.brunswickmd.gov/zoning-ordinance/,,,,,,,,,,904,239,"(39.31171, -77.627859)"
Lexington Market,14,Lexington Market,Metro,Baltimore City,Downtown,575933,Walk-up,5,1,1,4,5,5,4,1,3,BaltimoreLink Core Bus; Commuter Bus,"054, 056, 071, 080, 094, 105, 115, 120, 150, 154, 320, CityLink Blue, CityLink Orange, CityLink Purple","54, 56, 71, 80, 94, 105, 115, 120, 150, 154, 320, CityLink Blue, CityLink Orange, CityLink Purple",,,,5523.86,,,,,2098.25,,,,,117,,,,,71,,Below Grade,No,Yes,Yes,Yes,No,No,Yes,0,No,0,0,0,0,,,0,0,0,371.846,9,0,N/A,0,,Yes,C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,1432,131,16,725,0,33,0,0,,,"(39.292102, -76.621411)"
Odenton,57,Odenton,MARC: Penn Line,Anne Arundel County,"Town, Suburban, or Employment Center",133367,Anchor,3,5,5,4,1,3,5,1,2,Local Transit,RTA 504,RTA 504,2815.58,,,,,,,,,,,,,,,9,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1920,No,56,2,0,1769,1865,105,0.80511584,,4.919195901,52.2112,2,4,2 BR-Wheel Bender Combo; 1 Hanger; 1 Wave,10,8,Yes,Adopted OTC Master Plan & Resolution 48-11,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,Master Plans\MARC\Odenton\OdentonTC_2009.pdf,0,24,124,736,0,9,1,235,,,"(39.087389, -76.706361)"
Edgewood,51,Edgewood,MARC: Penn Line,Harford County,Village Center or Rural Town,81133,Regional,1,3,4,1,2,3,1,1,2,Local Transit,Harford Transit LINK,Harford Transit LINK,301.33,,,,,,,,,,,,,,,0,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,No,334,No,14,0,0,261,248,95,1.39895288,,0.85573512,31.8361,3,1,1 Wave,0,,No,CI Commercial Industrial,http://www.harfordcountymd.gov/planningzoning/,,0,2,4,4,0,2,0,0,,,"(39.415897, -76.293039)"
Barnesville,81,Barnesville,MARC: Brunswick Line,Montgomery County,Village Center or Rural Town,11447,Regional,1,1,1,1,1,1,1,1,1,,,,,,87.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,No,No,Yes,73,No,2,0,0,66,69,105,0.975501114,,0.388872448,3.82033,1,4,4 Inverted U,0,,No,"Rural RDT, I - 1 station only",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,47,25,"(39.209548, -77.383015)"
Rogers Avenue,8,Rogers Avenue,Metro,Baltimore City,Urban Neighborhood,470630,Neighborhood,5,3,5,4,4,5,2,1,2,BaltimoreLink Core Bus,"028, 030, 031, 034, 080, 082, 089, 094","28, 30, 31, 34, 80, 82, 89, 94",,,,2433.45,,,,,1117.25,,,,,117,,,,,71,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,318,No,19,0,0,266,238,90,0.11,0.24,0.77,191.017,6,2,2 Inverted U,10,0,Yes,I-2 TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,11,6,62,0,3,0,0,,,"(39.344458, -76.693504)"
